City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,-33.8667,121.9,67.84,69,4,21.52,clear sky
1,Port Elizabeth,ZA,-33.918,25.5701,74.1,78,20,21.85,few clouds
2,Pisco,PE,-13.7,-76.2167,70.02,78,0,1.14,clear sky
3,Rikitea,PF,-23.1203,-134.9692,77.14,78,100,13.44,light rain
4,Riohacha,CO,11.5444,-72.9072,81.9,68,47,14.14,scattered clouds
5,Kostyantynivka,UA,48.5277,37.7069,33.04,100,100,4.63,light snow
6,George,ZA,-33.963,22.4617,67.55,77,75,17.27,broken clouds
7,Avarua,CK,-21.2078,-159.775,78.85,89,75,10.36,broken clouds
8,Beringovskiy,RU,63.05,179.3167,-0.15,82,100,19.3,overcast clouds
9,Bethel,US,41.3712,-73.414,41.23,92,100,0.0,light rain
10,Hobart,AU,-42.8794,147.3294,52.05,75,5,3.44,clear sky
11,Te Anau,NZ,-45.4167,167.7167,49.73,94,100,3.15,light rain
12,Zhezkazgan,KZ,47.8043,67.7144,6.78,85,0,11.18,clear sky
13,New Norfolk,AU,-42.7826,147.0587,51.71,62,1,1.01,clear sky
14,Castro,BR,-24.7911,-50.0119,70.5,80,99,4.85,overcast clouds
15,San Francisco,US,37.7749,-122.4194,52.41,65,16,1.01,few clouds
16,Mohanur,IN,11.0833,78.1667,81.7,44,15,6.71,few clouds
17,Chuy,UY,-33.6971,-53.4616,84.4,56,23,6.82,few clouds
18,East London,ZA,-33.0153,27.9116,72.54,88,75,14.97,broken clouds
19,Saskylakh,RU,71.9167,114.0833,-33.07,100,72,2.08,broken clouds
20,Hilo,US,19.7297,-155.09,68.4,75,8,2.15,clear sky
21,Plouzane,FR,48.3833,-4.6167,51.85,79,100,10.36,overcast clouds
22,Thompson,CA,55.7435,-97.8558,-23.64,76,40,5.75,scattered clouds
23,Ilulissat,GL,69.2167,-51.1,9.01,61,100,11.7,overcast clouds
24,Okhotsk,RU,59.3833,143.3,7.63,76,91,15.73,overcast clouds
25,Tura,IN,25.5198,90.2201,58.73,58,3,4.99,clear sky
26,Kodiak,US,57.79,-152.4072,38.71,93,100,19.57,moderate rain
27,Vaini,TO,-21.2,-175.2,73.56,94,20,2.3,few clouds
28,Nanortalik,GL,60.1432,-45.2371,30.42,79,100,13.15,snow
29,Busselton,AU,-33.65,115.3333,77.04,43,92,9.89,overcast clouds
